course;stop_code;stop_id;stop_name;route_short_name;trip_headsign;direction_id;departure_time;is_theorical;delay_sec;dest_ar_code
268436248;BOUTORTW;41233;BOUTONNET;1;HAUTS DE MASSANE;1;10:14:14;0;552;41249
268436248;CORUMRTW;41225;CORUM T1;1;HAUTS DE MASSANE;1;10:06:37;0;95;41249
268436248;BLANCRTW;41227;LOUIS BLANC;1;HAUTS DE MASSANE;1;10:08:20;0;198;41249
268436260;MILLERTW;41203;MILLENAIRE;1;HAUTS DE MASSANE;1;10:10:23;1;321;41249
268436260;MONDIRTW;41205;MONDIAL 98;1;HAUTS DE MASSANE;1;10:11:49;1;407;41249
268436260;MOULARTW;41209;MOULARES;1;HAUTS DE MASSANE;1;10:14:49;1;587;41249
268436260;ODYSSETW;41201;ODYSSEUM;1;HAUTS DE MASSANE;1;10:07:00;1;118;41249
268436248;PHILIRTW;41231;PHILIPPIDES;1;HAUTS DE MASSANE;1;10:12:26;0;444;41249
268436260;EUROPRTW;41213;PL. DE L'EUROPE;1;HAUTS DE MASSANE;1;10:17:59;1;777;41249
268436248;ALBE1RTW;41229;PLACE ALBERT 1ER;1;HAUTS DE MASSANE;1;10:10:37;0;335;41249
268436260;PFRANCEE;41261;PLACE DE FRANCE;1;HAUTS DE MASSANE;1;10:08:59;1;237;41249
268436260;PMARIRTW;41207;PORT MARIANNE;1;HAUTS DE MASSANE;1;10:12:59;1;477;41249 268436248;STELORTW;41235;SAINT-ELOI;1;HAUTS DE MASSANE;1;10:15:37;0;635;41249
268436248;SCIENRTW;41237;UNIVERSITES;1;HAUTS DE MASSANE;1;10:16:49;0;707;41249
268435512;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;10:07:54;0;172;41101
268435959;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;10:11:31;0;389;41101
268435987;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;10:18:37;0;815;41101
268435824;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;10:06:33;0;91;41101
268435864;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;10:10:18;0;316;41101
268435891;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;10:08:45;0;223;41101
268435824;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;10:15:38;0;636;41101
268435864;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;10:18:51;0;829;41101
268435923;COMEDRTW;41223;COMEDIE;1;MOSSON;1;10:06:25;0;83;41101
268435512;COMEDRTW;41223;COMEDIE;1;MOSSON;1;10:14:34;0;572;41101
268435959;COMEDRTW;41223;COMEDIE;1;MOSSON;1;10:18:12;0;790;41101
268435923;CORUMRTW;41225;CORUM T1;1;MOSSON;1;10:09:25;0;263;41101
268435512;CORUMRTW;41225;CORUM T1;1;MOSSON;1;10:17:34;0;752;41101
268435512;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;10:10:31;0;329;41101
268435959;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;10:14:10;0;548;41101
268435987;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;10:21:34;0;992;41101
268435761;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;10:07:12;0;130;41101
268435891;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;10:12:45;0;463;41101
268435824;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;10:19:38;0;876;41101
268435512;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;10:12:34;0;452;41101
268435959;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;10:16:12;0;670;41101
268435987;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;10:23:37;0;1115;41101
268435721;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;10:06:50;0;108;41101
268435761;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;10:12:41;0;459;41101
268435891;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;10:17:50;0;768;41101
268435761;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;10:09:12;0;250;41101
268435891;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;10:14:45;0;583;41101
268435824;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;10:21:38;0;996;41101
268435891;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;10:05:54;0;52;41101
268435824;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;10:12:24;0;442;41101
268435864;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;10:15:37;0;635;41101
268435512;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;10:06:33;0;91;41101
268435959;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;10:10:11;0;309;41101
268435987;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;10:17:36;0;754;41101
268435923;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;10:10:31;0;329;41101
268435512;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;10:19:00;0;838;41101
268435761;MALBORTW;41245;MALBOSC;1;MOSSON;1;10:05:12;0;10;41101
268435891;MALBORTW;41245;MALBOSC;1;MOSSON;1;10:10:45;0;343;41101
268435824;MALBORTW;41245;MALBOSC;1;MOSSON;1;10:17:38;0;756;41101
268435987;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;10:07:30;0;148;41101
268436027;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;10:13:23;0;501;41101
268435987;MONDIRTW;41205;MONDIAL 98;1;MOSSON;1;10:08:49;0;227;41101
268436027;MONDIRTW;41205;MONDIAL 98;1;MOSSON;1;10:14:49;0;587;41101
268435987;MOULARTW;41209;MOULARES;1;MOSSON;1;10:11:49;0;407;41101
268436027;MOULARTW;41209;MOULARES;1;MOSSON;1;10:17:49;0;767;41101
268435891;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;10:06:45;0;103;41101
268435824;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;10:13:38;0;516;41101
268435864;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;10:16:51;0;709;41101
268436027;ODYSSETW;41201;ODYSSEUM;1;MOSSON;1;10:10:00;0;298;41101
268435556;ODYSSETW;41201;ODYSSEUM;1;MOSSON;1;10:16:00;0;658;41101
268435824;PHILIRTW;41231;PHILIPPIDES;1;MOSSON;1;10:05:26;0;24;41101
268435864;PHILIRTW;41231;PHILIPPIDES;1;MOSSON;1;10:08:36;0;214;41101
268435959;EUROPRTW;41213;PL. DE L'EUROPE;1;MOSSON;1;10:08:11;0;189;41101
268435987;EUROPRTW;41213;PL. DE L'EUROPE;1;MOSSON;1;10:15:36;0;634;41101
268435864;ALBE1RTW;41229;PLACE ALBERT 1ER;1;MOSSON;1;10:06:50;0;108;41101
268435923;ALBE1RTW;41229;PLACE ALBERT 1ER;1;MOSSON;1;10:13:25;0;503;41101
268435987;PFRANCEE;41261;PLACE DE FRANCE;1;MOSSON;1;10:06:36;0;94;41101
268436027;PFRANCEE;41261;PLACE DE FRANCE;1;MOSSON;1;10:11:59;0;417;41101
268435987;PMARIRTW;41207;PORT MARIANNE;1;MOSSON;1;10:10:36;0;334;41101
268436027;PMARIRTW;41207;PORT MARIANNE;1;MOSSON;1;10:15:59;0;657;41101
268435959;RILEZRTW;41211;RIVES DU LEZ T1;1;MOSSON;1;10:07:11;0;129;41101
